short_name,long_name,Sub-Borough Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
unit_num,Housing units,University Heights/Fordham,48324,45809,46199,45116,48327,47358,47089,47107,47926,47653,49248,48893
unit_num,Housing units,Kingsbridge Heights/Mosholu,47498,48375,46439,46061,46935,47257,43567,45836,45747,48803,47754,48352
unit_num,Housing units,Riverdale/Kingsbridge,44212,46275,46959,47232,46191,46190,46120,45148,45894,45403,44122,44552
unit_num,Housing units,Soundview/Parkchester,68630,70275,66043,69379,68578,67581,68386,66554,69963,67453,65625,66637
unit_num,Housing units,Throgs Neck/Co-op City,44246,46355,52611,49872,48805,48438,49272,47621,48391,49378,49599,45659
unit_num,Housing units,Pelham Parkway,46183,46902,48075,48518,47748,46019,46689,47177,45238,47688,45963,47176
unit_num,Housing units,Williamsbridge/Baychester,50169,50413,49498,51218,50986,52437,51338,50763,50590,48681,50628,52431
unit_num,Housing units,Williamsburg/Greenpoint,52628,55769,57784,56521,58462,65586,65445,64703,66286,66624,68005,70240
unit_num,Housing units,Brooklyn Heights/Fort Greene,54826,55999,52973,56640,59485,60967,59155,59528,62190,63398,62861,66909
unit_num,Housing units,Bedford Stuyvesant,51665,50957,51509,53525,53655,56935,56251,57287,56353,57156,59782,58114
unit_num,Housing units,Bushwick,42169,42583,45360,45096,47392,47609,49027,49977,49280,51522,47107,52009
unit_num,Housing units,East New York/Starrett City,51257,54000,53206,54879,56101,57200,57810,58935,59607,62281,61836,61865
unit_num,Housing units,Park Slope/Carroll Gardens,50676,50284,50756,54484,52655,55234,52089,51212,53560,53197,54251,51064
unit_num,Housing units,Sunset Park,47346,48234,48704,48434,50120,49678,52042,48978,49103,48602,49065,48750
unit_num,Housing units,North Crown Heights/Prospect Heights,52216,54172,52761,52636,55979,56344,55674,56197,56829,56941,59412,60882
unit_num,Housing units,South Crown Heights,40411,42414,41134,43752,42974,41681,44380,43607,42963,44191,47344,46293
unit_num,Housing units,Bay Ridge,51159,51436,53472,51494,50247,54709,53578,52433,53649,53964,52023,52340
unit_num,Housing units,Bensonhurst,68478,66327,67934,67083,63112,67271,66152,67939,67788,66340,66136,68644
unit_num,Housing units,Borough Park,50785,49181,51866,52059,50670,50573,50036,49619,48744,48391,48635,45881
unit_num,Housing units,Coney Island,49884,45661,51092,46379,48653,46724,48770,47262,49037,50033,50835,50618
unit_num,Housing units,Flatbush,59807,61145,58894,61829,59191,60011,61113,59402,59094,63028,59826,60496
unit_num,Housing units,Mid-Island,53780,48949,49911,51878,53075,48183,50857,50047,51431,48615,51049,51861
unit_num,Housing units,South Shore,54076,61704,60546,59152,59889,60218,59988,58944,59566,60406,62450,61878
